"prvdr_num","sum_pctg_ssi_mdcd_days","nonmdcr_uncomp_costs_only10","beds","total_margin","ucc_per_bed","total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum","safety_net"
"010001",0.313399791717529,25746944,342,0.0375343738996432,75283.4619883041,381,FALSE
"010005",0.270299911499023,13262552,204,0.0412433627806208,65012.5098039216,170,FALSE
"010006",0.244233342495748,7883646.88550157,230.479451884962,0.0931726185666802,34205.421876118,170,FALSE
"010007",0.174799919128418,1560919,45,-0.0386294885674652,34687.0888888889,51,FALSE
"010008",0.331253561452188,668591.650562763,29,-0.0934577013979152,23054.8845021642,15,FALSE
"010011",0.208524055789528,21186353.1148724,309,-0.0179098442226082,68564.249562694,301,TRUE
"010012",0.31561959605978,2790195.65717748,97,-0.00173236384295939,28764.903682242,60,TRUE
"010016",0.225765415421709,13658244.9861145,212,0.0599136099992182,64425.6838967665,198,FALSE
"010019",0.28689980506897,7236380,178,-0.0287443920760981,40653.8202247191,167,TRUE
"010021",0.401099920272827,2158946,77,0.0329877433640024,28038.2597402597,111,FALSE
"010023",0.428310312582955,30308642.1533926,321.512328869023,0.0918370421824147,94268.9888751971,470,FALSE
"010024",0.287853883336731,10927595.3963737,270,0.0125313604165278,40472.575542125,376,TRUE
"010029",0.302599906921387,15997560,299,0.0407867940512771,53503.5451505017,308,FALSE
"010033",0.378899812698364,125884672,1100,0.047009646926631,114440.610909091,1044,FALSE
"010034",0.25849986076355,1085973,37,-0.0659806891091997,29350.6216216216,29,TRUE
"010035",0.233979359874987,9849815.79301014,141.975342261954,0.0819166169856431,69376.9469830651,143,FALSE
"010036",0.350045881307533,2123107.80034119,83,-0.0271756459355504,25579.6120523035,21,TRUE
"010038",0.303699970245361,2272454,125,-0.0743381076202975,18179.632,0,FALSE
"010039",0.27088451589441,69263340.7394165,879.520548115038,0.069710394256859,78751.247924633,1688,FALSE
"010040",0.297999858856201,11239176,222,0.0543636161315238,50626.9189189189,226,FALSE
"010044",0.157399892807007,2059121,36,-0.13760773902767,57197.8055555556,5,FALSE
"010045",0.164899945259094,1838698,45,-0.0850212808527196,40859.9555555556,29,FALSE
"010046",0.233265419896791,4075113.93550491,256,-0.0158726905526536,15918.4138105661,201,FALSE
"010049",0.320914116622062,3429953.11098766,99,0.0722365215553827,34645.9910200774,36,FALSE
"010051",0.75629997253418,473869,20,-0.00145448842660898,23693.45,0,FALSE
"010052",0.31321663962965,1022484.56713772,46,-0.055625328289055,22227.9253725591,29,FALSE
"010055",0.232499957084656,8503168,235,0.11765830065408,36183.6936170213,326,FALSE
"010056",0.203701008724972,21114498.7333992,399.747945188496,0.0392943493930533,52819.5303754292,299,FALSE
"010058",0.340999841690063,1819654,25,0.0129804527689817,72786.16,110,TRUE
"010059",0.198599934577942,1165302,43,-0.0931853633881458,27100.0465116279,0,FALSE
"010061",0.364399909973145,3744420,45,0.0145913030933509,83209.3333333333,30,TRUE
"010062",0.279999971389771,1974683,73,0.00753443583513922,27050.4520547945,48,TRUE
