model,scale,result,type
lee,0,0.0000,bias_sq
lee,0.5,0.0003,bias_sq
lee,0.4,0.0005,bias_sq
lee,0.3,0.0007,bias_sq
lee,0.2,0.0008,bias_sq
lee,0,0.0021,var
lee,0.5,0.0007,var
lee,0.4,0.0006,var
lee,0.3,0.0005,var
lee,0.2,0.0005,var
lee,0,0.0022,mse
lee,0.5,0.0010,mse
lee,0.4,0.0010,mse
lee,0.3,0.0011,mse
lee,0.2,0.0013,mse
lee,0,0.9460,cr
lee,0.5,0.8840,cr
lee,0.4,0.8250,cr
lee,0.3,0.7640,cr
lee,0.2,0.7100,cr
turnout,0,0.0013,bias_sq
turnout,0.5,0.0018,bias_sq
turnout,0.4,0.0020,bias_sq
turnout,0.3,0.0021,bias_sq
turnout,0.2,0.0029,bias_sq
turnout,0,0.0100,var
turnout,0.5,0.0074,var
turnout,0.4,0.0065,var
turnout,0.3,0.0054,var
turnout,0.2,0.0040,var
turnout,0,0.0113,mse
turnout,0.5,0.0092,mse
turnout,0.4,0.0084,mse
turnout,0.3,0.0074,mse
turnout,0.2,0.0069,mse
turnout,0,0.9290,cr
turnout,0.5,0.9090,cr
turnout,0.4,0.9050,cr
turnout,0.3,0.9000,cr
turnout,0.2,0.8690,cr
price,0,4.2851,bias_sq
price,0.5,5.0968,bias_sq
price,0.4,7.5427,bias_sq
price,0.3,10.3311,bias_sq
price,0.2,20.4575,bias_sq
price,0,61.6550,var
price,0.5,61.4687,var
price,0.4,53.8184,var
price,0.3,40.4140,var
price,0.2,33.1650,var
price,0,65.9748,mse
price,0.5,66.6032,mse
price,0.4,61.4072,mse
price,0.3,50.7987,mse
price,0.2,53.6982,mse
price,0,0.9550,cr
price,0.5,0.9430,cr
price,0.4,0.9370,cr
price,0.3,0.9270,cr
price,0.2,0.8920,cr
age,0,0.0001,bias_sq
age,0.5,0.0583,bias_sq
age,0.4,0.0884,bias_sq
age,0.3,0.0208,bias_sq
age,0.2,0.0023,bias_sq
age,0,12.6778,var
age,0.5,8.9911,var
age,0.4,8.1541,var
age,0.3,6.8529,var
age,0.2,5.2934,var
age,0,12.6778,mse
age,0.5,9.0495,mse
age,0.4,8.2428,mse
age,0.3,6.8738,mse
age,0.2,5.2958,mse
age,0,0.9510,cr
age,0.5,0.9520,cr
age,0.4,0.9410,cr
age,0.3,0.9500,cr
age,0.2,0.9490,cr
