"","1000","5000","10000","50000","1e+05","1000","5000","10000","50000","1e+05","1000","5000","10000","50000","1e+05","1000","5000","10000","50000","1e+05"
"bias",-0.0118,-0.0201,-0.012,-0.0185,-0.0161,-0.0049,-0.0043,0.0013,-0.0011,-9e-04,0.022,0.0134,0.0117,0.0078,0.0011,0.0169,0.0127,0.0106,0.0079,0.0012
"variance",0.0786,0.0127,0.0051,0.001,5e-04,0.0189,0.006,0.0034,0.0011,7e-04,0.007,0.0063,0.006,0.0061,0.006,0.0084,0.0064,0.006,0.0059,0.0058
"CR",0.934,0.948,0.953,0.931,0.933,0.978,0.973,0.981,0.983,0.971,0.953,0.949,0.952,0.947,0.936,0.941,0.949,0.948,0.94,0.937
"bias",-3.8353,-4.0482,-3.1878,-1.9335,-1.2293,-0.231,-0.5278,-0.0903,-0.1227,-0.0275,6.7977,3.9785,3.4101,1.9859,2.1574,1.2121,0.8221,0.868,0.0998,0.629
"variance",528.8758,85.8068,37.415,9.2601,5.7001,423.0745,180.9454,109.4033,29.0582,14.4899,49.9737,37.6548,39.358,34.7354,37.3014,87.1682,59.4337,57.001,46.7899,48.0771
"CR",0.948,0.947,0.955,0.957,0.95,0.981,0.974,0.972,0.979,0.987,0.824,0.924,0.915,0.941,0.919,0.938,0.946,0.958,0.932,0.936
"bias",-0.0178,-0.1874,-0.1966,-0.1698,-0.1408,-0.2898,0.0052,0.0626,0.039,-0.0502,-0.222,-0.2153,-0.2951,0.017,-0.2594,0.2984,-0.0097,-0.1705,0.0631,-0.2111
"variance",110.6967,15.849,7.9903,1.2539,0.6609,36.1169,9.613,6.163,2.1915,1.2345,9.2555,9.1571,8.4339,7.8535,7.5993,13.8381,11.5593,9.9945,8.5617,8.2755
"CR",0.933,0.949,0.942,0.971,0.959,0.976,0.976,0.977,0.974,0.968,0.957,0.939,0.945,0.942,0.947,0.946,0.935,0.936,0.937,0.949
