"","1000","5000","10000","50000","1e+05","1000","5000","10000","50000","1e+05","1000","5000","10000","50000","1e+05","1000","5000","10000","50000","1e+05"
"bias",0.018,0.0294,0.0257,0.0259,0.0252,-0.0061,-0.0063,-0.0022,-0.0019,-0.002,0.049,0.0309,0.0242,0.0211,0.0177,0.0426,0.028,0.0217,0.0197,0.0169
"variance",0.2461,0.024,0.0094,0.0015,8e-04,0.0305,0.0122,0.0075,0.0028,0.0015,0.0054,0.0046,0.0043,0.0039,0.004,0.0069,0.0051,0.0045,0.0036,0.0037
"CR",0.948,0.936,0.938,0.901,0.855,0.985,0.979,0.984,0.979,0.991,0.907,0.938,0.938,0.949,0.939,0.868,0.906,0.931,0.944,0.93
"bias",2.7574,4.8878,5.6543,4.5,3.8748,-0.231,-0.5278,-0.0903,-0.1227,-0.0275,8.7037,5.7927,4.903,2.4293,2.1113,6.3921,4.7853,4.2545,2.2442,1.9833
"variance",3806.2308,232.4295,80.861,10.4512,5.0567,423.0745,180.9454,109.4033,29.0582,14.4899,37.068,34.4074,31.7393,27.7547,25.9484,72.5886,50.0642,44.7507,30.8009,27.3207
"CR",0.94,0.934,0.93,0.88,0.84,0.981,0.974,0.972,0.979,0.987,0.722,0.815,0.853,0.919,0.922,0.806,0.843,0.855,0.91,0.934
"bias",-2.2493,-1.2546,-1.1629,-1.2299,-1.2656,-0.2949,0.0769,0.0839,-0.0428,-0.0237,-0.6848,-0.1871,-0.1209,-0.0749,-0.2052,-0.7206,-0.1786,-0.0985,-0.0659,-0.2074
"variance",2200.4077,58.0355,21.9401,2.8652,1.4544,68.6196,23.8051,14.7071,4.4742,2.423,8.223,7.2583,6.4681,6.434,5.8234,13.4557,8.5387,7.0771,6.5556,5.9329
"CR",0.921,0.944,0.945,0.917,0.851,0.981,0.983,0.988,0.984,0.983,0.96,0.95,0.953,0.943,0.946,0.938,0.938,0.949,0.949,0.95
