"n","rf","rf.bias","rf.cr","rf.se","truth"
1000,2.24358933272818,-2.20830066727182,1,3.91527260622476,4.45189
1000,2.57462967791356,-1.87726032208644,1,2.70247225343131,4.45189
1000,2.77843518228797,-1.67345481771203,1,2.40956544998781,4.45189
1000,-1.33177541856244,-5.78366541856244,1,4.14486134366695,4.45189
1000,0.530865653335674,-3.92102434666432,1,2.98736583488349,4.45189
1000,0.887721103831232,-3.56416889616877,1,2.72819436922281,4.45189
1000,4.18999740615224,-0.261892593847755,1,3.02421392237756,4.45189
1000,4.37686167741909,-0.0750283225809127,1,3.12874713840581,4.45189
1000,7.13118974895669,2.67929974895669,1,2.64012568852157,4.45189
1000,4.17041382670541,-0.281476173294593,1,3.25042343669414,4.45189
1000,4.82356513420798,0.371675134207983,1,3.04099074660954,4.45189
1000,0.706810259481273,-3.74507974051873,1,3.30831236167041,4.45189
1000,8.4311255106651,3.9792355106651,1,2.79134597501203,4.45189
1000,10.2750452350807,5.82315523508066,1,3.07097538378417,4.45189
1000,0.604100724016746,-3.84778927598325,1,3.65924207520509,4.45189
1000,-2.99696350331398,-7.44885350331398,0,3.25140401256208,4.45189
1000,4.53750927492316,0.085619274923161,1,2.90307072853793,4.45189
1000,3.21943253045616,-1.23245746954384,1,2.75363838072457,4.45189
1000,1.40296881665526,-3.04892118334474,1,2.65108009608281,4.45189
1000,5.27677849390026,0.824888493900261,1,3.88844252977198,4.45189
1000,1.43194706667035,-3.01994293332965,1,2.63062542975927,4.45189
1000,9.16729894981503,4.71540894981504,1,3.16368448057581,4.45189
1000,2.23972503965038,-2.21216496034962,1,3.042071658412,4.45189
1000,5.95825161429072,1.50636161429073,1,3.46775263850042,4.45189
1000,5.18731913953769,0.735429139537693,1,3.84321915923985,4.45189
1000,0.820897226925972,-3.63099277307403,1,2.64056116096752,4.45189
1000,4.00428640324498,-0.447603596755023,1,3.28776160952748,4.45189
1000,9.80703216892464,5.35514216892464,1,3.44247265939447,4.45189
1000,0.316381904181029,-4.13550809581897,1,3.0542819020921,4.45189
1000,2.09167660529501,-2.36021339470499,1,3.09293859904163,4.45189
1000,5.39189505792151,0.94000505792151,1,2.47968495056532,4.45189
1000,3.28891869061383,-1.16297130938617,1,3.41294987408901,4.45189
1000,5.15512741222724,0.703237412227246,1,3.63564167396283,4.45189
1000,3.27735773945528,-1.17453226054472,1,3.87637424779014,4.45189
